,MSE_1,MSE_2,MSE_3,MSE_4,MSE_5,MSE_6,MSE_7,MSE_8,MSE_9,MSE_10
Rescaling,4.771,5.009,5.871,6.201,9.084,7.536,6.369,3.731,1.931,4.072
Mapping,12.504,8.75,5.421,2.786,2.565,1.603,1.328,1.263,2.697,6.537
