,name,max_df,min_df,solver,max_iter,_step,_runtime,accuracy,_timestamp
0,fancy-sweep-194,0.8892338958926129,5.0,saga,41.0,0.0,11.01986813545227,0.8624721285785455,1590221860.108606
1,treasured-sweep-193,0.9704525646758608,9.0,liblinear,68.0,0.0,9.436782360076904,0.8643189699786701,1590221853.787814
2,whole-sweep-192,0.9371815332090864,1.0,newton-cg,150.0,0.0,14.482332229614258,0.864439290683408,1590221842.328138
3,snowy-sweep-191,0.7638491566010119,12.0,saga,138.0,0.0,9.933659315109251,0.862833525994786,1590221832.9596608
4,classic-sweep-190,0.7404632915673621,4.0,lbfgs,147.0,0.0,10.623253345489502,0.8618295744197182,1590221817.3002238
5,rare-sweep-189,0.892802313770195,1.0,sag,53.0,0.0,9.942635297775269,0.8648008654449189,1590221811.7340622
6,polar-sweep-188,0.8059411913603205,10.0,liblinear,62.0,0.0,9.77204728126526,0.8625122247319265,1590221795.2566864
7,grateful-sweep-187,0.9303156317296049,1.0,saga,133.0,0.0,10.788695573806764,0.8644794513259784,1590221789.8862286
8,glad-sweep-186,0.7717649977738429,4.0,sag,151.0,0.0,10.64676022529602,0.8618697350622885,1590221774.8432765
9,easy-sweep-185,0.7835690903445113,3.0,lbfgs,101.0,0.0,11.040812253952026,0.8619901686231074,1590221768.9725697
10,youthful-sweep-184,0.9400138216271384,1.0,newton-cg,176.0,0.0,14.51508378982544,0.864118182888116,1590221757.4917226
11,dauntless-sweep-183,0.7363695847588834,12.0,newton-cg,172.0,0.0,12.566769361495972,0.862793381474513,1590221749.2963166
12,whole-sweep-182,0.7208227845334645,11.0,lbfgs,57.0,0.0,9.9807288646698,0.8627531724650508,1590221731.736227
13,hopeful-sweep-181,0.920894022526292,2.0,saga,85.0,0.0,10.20635151863098,0.8645195313570619,1590221725.7186592
14,revived-sweep-180,0.9632585926856364,10.0,sag,128.0,0.0,9.533976793289185,0.863877251277289,1590221710.1248388
15,northern-sweep-179,0.9043755296097846,2.0,newton-cg,157.0,0.0,13.659877061843872,0.8648811222408703,1590221707.9870446
16,fiery-sweep-178,0.8842259792508214,10.0,liblinear,167.0,0.0,9.920062780380247,0.8621911169366345,1590221684.100242
17,dauntless-sweep-177,0.7042567446652903,7.0,liblinear,76.0,0.0,9.593143463134766,0.862632738904232,1590221682.427205
18,dutiful-sweep-176,0.7853237098029844,5.0,newton-cg,99.0,0.0,13.985411882400513,0.8621910040805535,1590221666.9426222
19,fast-sweep-175,0.7114247297911228,9.0,lbfgs,139.0,0.0,10.286760807037354,0.8621107634068993,1590221661.9769468
20,denim-sweep-174,0.7207307582791649,10.0,lbfgs,188.0,0.0,10.660681247711182,0.8625122247319265,1590221642.3223453
21,glorious-sweep-173,0.7043148555379051,9.0,liblinear,123.0,0.0,9.419254064559937,0.8621107634068993,1590221635.5745227
22,wise-sweep-172,0.8777204420754077,5.0,newton-cg,120.0,0.0,13.228487968444824,0.8621910040805535,1590221623.7061105
23,zany-sweep-171,0.8953498551870757,11.0,newton-cg,134.0,0.0,12.44737458229065,0.8652025041152165,1590221617.4432323
24,dauntless-sweep-170,0.9895891465214623,1.0,sag,143.0,0.0,10.714024782180786,0.8641582467969027,1590221599.612209
25,still-sweep-169,0.7638852949503021,11.0,lbfgs,166.0,0.0,10.509864330291748,0.8627531724650508,1590221594.2303922
26,autumn-sweep-167,0.9494486763960894,0.0,newton-cg,153.0,0.0,14.948986291885376,0.8639576048070243,1590221577.3580058
27,northern-sweep-168,0.8989811990036412,3.0,liblinear,70.0,0.0,9.553545713424684,0.8649212506388461,1590221572.060565
28,avid-sweep-166,0.9303012954056042,1.0,lbfgs,114.0,0.0,13.172943592071531,0.864439290683408,1590221554.3733954
29,hearty-sweep-165,0.8418932981139322,2.0,liblinear,28.0,0.0,10.564826488494871,0.8622712447542075,1590221551.7313104
30,morning-sweep-163,0.821343209520881,4.0,lbfgs,42.0,0.0,9.589048862457275,0.8617894137771479,1590221529.4901657
31,crisp-sweep-164,0.9464281979088736,10.0,saga,62.0,0.0,10.31608819961548,0.8639977493272972,1590221530.2562044
32,pretty-sweep-161,0.8827459376863518,9.0,saga,180.0,0.0,9.8496732711792,0.8624321130366509,1590221508.5330925
33,polar-sweep-162,0.8778360335863488,1.0,sag,53.0,0.0,9.802331447601318,0.8621908751021751,1590221508.5697155
34,driven-sweep-160,0.9796634428442234,11.0,lbfgs,54.0,0.0,9.4405357837677,0.8645196603354405,1590221488.409228
35,confused-sweep-159,0.8965395394619396,8.0,sag,120.0,0.0,10.416571378707886,0.8650821189212893,1590221489.3852637
36,smart-sweep-158,0.9925688105156844,0.0,lbfgs,47.0,0.0,11.14855980873108,0.8626322874799076,1590221467.682297
37,revived-sweep-157,0.9809949458549329,9.0,sag,64.0,0.0,10.780562400817873,0.8643189699786701,1590221467.3142996
38,fallen-sweep-156,0.7028282091006735,8.0,lbfgs,151.0,0.0,12.60369086265564,0.8624721447008428,1590221447.3534591
39,mild-sweep-155,0.7981107623291698,7.0,liblinear,57.0,0.0,11.666690111160278,0.8623517433846184,1590221445.393458
40,feasible-sweep-154,0.9022431446559284,12.0,lbfgs,111.0,0.0,12.073961734771729,0.8645999654982838,1590221424.3305955
41,jumping-sweep-153,0.9693908532281824,4.0,newton-cg,56.0,0.0,15.681602716445925,0.8637165280955215,1590221423.5625968
42,zany-sweep-152,0.905232334049548,0.0,lbfgs,58.0,0.0,11.406084299087524,0.8649212345165488,1590221402.2858782
43,rich-sweep-151,0.859055120618477,12.0,saga,125.0,0.0,9.88038730621338,0.8629137827907375,1590221396.506295
44,snowy-sweep-150,0.9785393669623664,1.0,sag,28.0,0.0,12.47913146018982,0.8641582467969027,1590221382.311815
45,expert-sweep-149,0.7051960702964737,4.0,lbfgs,88.0,0.0,12.809528350830078,0.8626325938035562,1590221378.1291957
46,vibrant-sweep-148,0.9627621520945386,8.0,saga,137.0,0.0,9.778841972351074,0.8644796609158434,1590221358.1552448
47,eager-sweep-147,0.9378339461431572,10.0,newton-cg,93.0,0.0,12.283418893814089,0.864881041629384,1590221356.348486
48,balmy-sweep-146,0.99900906305651,11.0,saga,64.0,0.0,9.656442880630491,0.8644391455827323,1590221336.8356287
49,sleek-sweep-145,0.9829413615345598,5.0,newton-cg,168.0,0.0,12.583239078521729,0.8638369777786377,1590221335.4398468
50,floral-sweep-144,0.9349474785421742,1.0,sag,43.0,0.0,9.796344995498655,0.864439290683408,1590221315.7468643
51,atomic-sweep-143,0.8790249834960564,7.0,newton-cg,104.0,0.0,12.209234476089478,0.8621107795291966,1590221313.8291142
52,snowy-sweep-142,0.7015816850265649,7.0,saga,110.0,0.0,9.71216106414795,0.862632738904232,1590221294.4872231
53,gallant-sweep-141,0.7915672864891631,3.0,sag,119.0,0.0,9.51867651939392,0.8619901686231074,1590221289.9017532
54,glamorous-sweep-140,0.7325602331553769,6.0,lbfgs,25.0,0.0,8.213347673416138,0.8625122408542237,1590221272.5235765
55,logical-sweep-139,0.8943916090834114,12.0,saga,176.0,0.0,9.788338661193848,0.8651221022185893,1590221269.032477
56,ancient-sweep-138,0.8007082356966835,7.0,liblinear,167.0,0.0,8.786008358001709,0.8623517433846184,1590221257.152812
57,gallant-sweep-137,0.8522013743005383,3.0,newton-cg,180.0,0.0,12.622551202774048,0.8620704737859507,1590221250.6785948
58,cosmic-sweep-136,0.7447385251715531,10.0,lbfgs,84.0,0.0,9.448791742324827,0.8625122247319265,1590221236.5914938
59,woven-sweep-135,0.9739527571690926,11.0,saga,91.0,0.0,10.233720302581789,0.8645196603354405,1590221227.1596973
60,playful-sweep-134,0.8736998127434695,2.0,liblinear,25.0,0.0,9.330544471740724,0.8622712447542075,1590221220.5051985
61,laced-sweep-133,0.7187862813308588,2.0,saga,128.0,0.0,9.941911697387695,0.8626727866907211,1590221205.6001244
62,worldly-sweep-132,0.9720703533077986,5.0,newton-cg,39.0,0.0,12.60744857788086,0.8638369777786377,1590221202.5922134
63,earnest-sweep-131,0.9888842064814344,4.0,newton-cg,122.0,0.0,12.673575162887571,0.8637165280955215,1590221187.1383595
64,copper-sweep-130,0.9153619275393716,6.0,sag,112.0,0.0,9.395627975463867,0.8643991461631352,1590221178.1579783
65,crimson-sweep-129,0.7232993819322675,9.0,saga,94.0,0.0,10.537548780441284,0.8624721285785453,1590221163.817315
66,vibrant-sweep-128,0.965543226892446,6.0,lbfgs,163.0,0.0,10.182343482971191,0.8643993235084053,1590221157.6933365
67,rich-sweep-127,0.9412432259345184,4.0,liblinear,110.0,0.0,10.076992988586426,0.8638772835218835,1590221142.0793924
68,wobbly-sweep-126,0.7368822976558079,2.0,lbfgs,173.0,0.0,10.973697423934937,0.8620302970210831,1590221137.242622
69,eager-sweep-125,0.873512656679285,10.0,liblinear,176.0,0.0,8.556674242019653,0.8625925137724725,1590221124.794202
70,dark-sweep-124,0.9561839343264412,3.0,liblinear,135.0,0.0,9.538981676101685,0.8640779900009512,1590221115.110486
71,twilight-sweep-123,0.9589689207076654,1.0,lbfgs,130.0,0.0,12.670403003692629,0.8639174441644538,1590221107.4905384
72,usual-sweep-122,0.9292076672017292,0.0,saga,178.0,0.0,9.991755485534668,0.8644794513259784,1590221093.8653948
73,eternal-sweep-121,0.9156445269395574,3.0,sag,164.0,0.0,9.397400379180908,0.8645998526422026,1590221083.2850704
74,jumping-sweep-120,0.7835476442873482,4.0,lbfgs,170.0,0.0,10.655386447906494,0.8618295744197182,1590221073.523317
75,revived-sweep-119,0.8552926114366416,6.0,lbfgs,71.0,0.0,9.905886888504028,0.8622312292123129,1590221062.3563902
76,morning-sweep-118,0.7640964252919262,3.0,newton-cg,200.0,0.0,12.555877208709717,0.8619901686231074,1590221053.9835303
77,hearty-sweep-116,0.9260398240970964,6.0,saga,187.0,0.0,10.628599166870115,0.8643991461631352,1590221035.7699983
78,playful-sweep-117,0.7631126611738732,1.0,liblinear,147.0,0.0,9.39842939376831,0.8622711802650184,1590221034.8447976
79,likely-sweep-115,0.9472274116990848,11.0,saga,188.0,0.0,11.349706649780272,0.8644395325178674,1590221015.53041
80,dandy-sweep-114,0.7830918968860976,7.0,lbfgs,55.0,0.0,10.650494575500488,0.8623517433846184,1590221012.8442326
81,wise-sweep-113,0.9993290362119628,4.0,lbfgs,84.0,0.0,9.65799856185913,0.86367625459687,1590220992.662868
82,vibrant-sweep-112,0.725839936541666,1.0,sag,185.0,0.0,10.157985925674438,0.8623113409075887,1590220985.9588685
83,dark-sweep-111,0.7834364745150295,10.0,liblinear,25.0,0.0,9.821558475494385,0.8625122247319265,1590220971.6801364
84,dashing-sweep-110,0.94485206271954,1.0,liblinear,179.0,0.0,10.192145586013794,0.864118182888116,1590220964.7161367
85,super-sweep-109,0.7285307727303132,11.0,sag,104.0,0.0,9.2470862865448,0.8627933169853238,1590220949.8226075
86,brisk-sweep-108,0.9559126943170017,6.0,newton-cg,199.0,0.0,12.618362665176392,0.8643993235084053,1590220945.978642
87,radiant-sweep-107,0.9649422823227838,8.0,lbfgs,186.0,0.0,9.636728048324583,0.8644796609158434,1590220928.9457855
88,fresh-sweep-106,0.8572862213301538,10.0,saga,22.0,0.0,9.652647018432615,0.8625925137724725,1590220921.843815
89,vital-sweep-105,0.7067728031296302,4.0,lbfgs,93.0,0.0,11.245031356811523,0.8626325938035562,1590220909.4777193
90,glad-sweep-104,0.8573109501249961,7.0,lbfgs,104.0,0.0,10.073913812637327,0.8621107795291966,1590220901.022622
91,visionary-sweep-103,0.9407528800847048,1.0,lbfgs,151.0,0.0,12.540779113769531,0.8641181667658188,1590220889.499676
92,kind-sweep-102,0.8376562810142161,5.0,lbfgs,36.0,0.0,9.033875465393066,0.862271325365694,1590220884.0835404
93,pleasant-sweep-101,0.7940019331748581,7.0,liblinear,146.0,0.0,8.96568250656128,0.8623517433846184,1590220868.0609417
94,eternal-sweep-100,0.814763298326948,7.0,saga,120.0,0.0,9.932353973388672,0.8621509240494696,1590220865.6638484
95,stellar-sweep-99,0.741337174464992,12.0,sag,196.0,0.0,10.409241437911987,0.862793381474513,1590220848.175862
96,celestial-sweep-98,0.8921676016394007,6.0,lbfgs,165.0,0.0,10.765647649765016,0.8649615725043894,1590220845.1532788
97,grateful-sweep-97,0.8131706931164766,7.0,newton-cg,21.0,0.0,13.004324436187744,0.8623115827420481,1590220829.5666742
98,scarlet-sweep-96,0.9713525305168738,0.0,liblinear,100.0,0.0,10.188955545425417,0.8641582467969027,1590220823.3414872
99,vivid-sweep-95,0.9852855839565884,8.0,liblinear,96.0,0.0,8.980262279510498,0.8639173635529673,1590220809.6663756
100,lyric-sweep-94,0.9740670926095668,9.0,newton-cg,47.0,0.0,12.113968849182127,0.8643189699786701,1590220802.7542982
101,expert-sweep-93,0.7189262696957849,12.0,saga,186.0,0.0,9.405698537826538,0.8631949072887293,1590220789.0636466
102,sleek-sweep-92,0.9131952121753828,2.0,lbfgs,157.0,0.0,10.797937154769896,0.8643589210313756,1590220779.1354024
103,radiant-sweep-91,0.8738881226607613,4.0,lbfgs,40.0,0.0,9.643393278121948,0.8619098957048588,1590220767.965916
104,royal-sweep-90,0.7250119640247735,5.0,liblinear,119.0,0.0,9.35727047920227,0.8621910040805535,1590220761.43461
105,different-sweep-89,0.7829821772386844,11.0,sag,182.0,0.0,14.301830530166626,0.8627933169853238,1590220750.3445816
106,easy-sweep-88,0.7149378631963663,2.0,lbfgs,173.0,0.0,11.757588624954224,0.8626325938035564,1590220742.4350262
107,sweepy-sweep-87,0.8511007498434487,3.0,liblinear,174.0,0.0,9.428547859191896,0.8620704737859507,1590220724.1809638
108,dandy-sweep-86,0.9666450647326464,5.0,liblinear,87.0,0.0,9.328741788864136,0.863877251277289,1590220718.815537
109,warm-sweep-85,0.7100972197665849,10.0,saga,134.0,0.0,11.019014120101929,0.8623114376413724,1590220701.9051442
110,ethereal-sweep-84,0.9594550533665296,0.0,liblinear,130.0,0.0,10.131826162338257,0.8639576048070243,1590220698.3994277
111,serene-sweep-83,0.9100614160397154,4.0,newton-cg,102.0,0.0,13.74999713897705,0.8645598048557135,1590220683.4488206
112,dainty-sweep-82,0.7452291791385777,11.0,lbfgs,153.0,0.0,10.191471338272097,0.8627531724650508,1590220677.2382464
113,efficient-sweep-81,0.8865042234602776,2.0,newton-cg,114.0,0.0,14.04145646095276,0.8626326421704482,1590220662.5544224
114,denim-sweep-80,0.9605976398060172,10.0,saga,22.0,0.0,10.102874040603638,0.863877251277289,1590220656.007275
115,lively-sweep-79,0.7711818722063849,10.0,saga,189.0,0.0,10.739495515823364,0.8625523692521995,1590220637.995917
116,valiant-sweep-78,0.9856853746524838,4.0,liblinear,116.0,0.0,9.48127007484436,0.8637165280955215,1590220634.0793788
