,MSE_1,MSE_2,MSE_3,MSE_4,MSE_5,MSE_6,MSE_7,MSE_8,MSE_9,MSE_10
Rescaling,4.771167103840762,5.009072417469349,5.871224297340936,6.200859088138959,9.08374405810557,7.536475306334579,6.36873974224841,3.7305551604828158,1.931339285638269,4.071995104037391
Mapping,12.504244472181735,8.750142150587973,5.421470155257844,2.7863045728024627,2.5649958565933852,1.6032469838639778,1.3275461271179967,1.2634954892196002,2.69701635005835,6.536721194158332
